cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2026-41570,2026-05-08,7.8,HIGH,3.1,0.00191,0.09082,,,,,False,Alta,False,4 - Seguimiento normal,0.0149,0.0149
CVE-2026-43424,2026-05-08,5.5,MEDIUM,3.1,0.00123,0.02446,,,,,False,Media,False,4 - Seguimiento normal,0.0068,0.0068
CVE-2026-43452,2026-05-08,8.2,HIGH,3.1,0.00443,0.3627,,,,,False,Alta,False,4 - Seguimiento normal,0.0363,0.0363
CVE-2026-43471,2026-05-08,5.5,MEDIUM,3.1,0.00114,0.01707,,,,,False,Media,False,4 - Seguimiento normal,0.0063,0.0063
CVE-2026-41883,2026-05-08,8.1,HIGH,3.1,0.00382,0.30786,,,,,False,Alta,False,4 - Seguimiento normal,0.0309,0.0309
CVE-2026-44694,2026-05-08,7.2,HIGH,4.0,0.00235,0.14589,,,,,False,Alta,False,4 - Seguimiento normal,0.0169,0.0169
CVE-2026-8190,2026-05-09,2.1,LOW,4.0,0.05344,0.91778,,,,,False,Baja,False,4 - Seguimiento normal,0.1122,0.1122
CVE-2026-42571,2026-05-09,9.0,CRITICAL,4.0,0.0032,0.24416,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0288,0.0288
CVE-2026-8219,2026-05-10,1.9,LOW,4.0,0.00258,0.17434,,,,,False,Baja,False,4 - Seguimiento normal,0.0049,0.0049
CVE-2026-7259,2026-05-10,2.1,LOW,4.0,0.00202,0.10371,,,,,False,Baja,False,4 - Seguimiento normal,0.0042,0.0042
CVE-2022-50956,2026-05-10,6.9,MEDIUM,4.0,0.00152,0.04832,,,,,False,Media,False,4 - Seguimiento normal,0.0105,0.0105
CVE-2026-8248,2026-05-10,2.1,LOW,4.0,0.00471,0.38136,,,,,False,Baja,False,4 - Seguimiento normal,0.0099,0.0099
